language_id,name,glottocode,clade,glottolog_path,n_forms
abvdoceanic-LamenuNul_1103,Lamenu (Nul),lewo1242,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/epie1239/epii1237/lame1259/lewo1242,162
abvdoceanic-Lamenu_1107,Lamenu,lame1260,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/epie1239/epii1237/lame1259/lame1260,162
abvdoceanic-Tasmate_1108,Tasmate,tasm1246,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/nort3217/tasm1246,93
abvdoceanic-MwerlapMerlav_1111,Mwerlap (Merlav),merl1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/merl1237,168
abvdoceanic-NavutMatae_1113,Navut (Matae),navu1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/tial1241/navu1237,153
abvdoceanic-Wailapa_1114,Wailapa,wail1242,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/west2845/wail1242,106
abvdoceanic-AmbaeEastWailengi_1116,"Ambae, East (Wailengi)",east2443,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/amba1270/east2443,162
abvdoceanic-Tiale_1117,Tiale,tial1239,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/tial1241/tial1239,144
abvdoceanic-Loyop_1123,Löyöp,leha1244,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/leha1244,161
abvdoceanic-Mafea_1125,Mafea,mafe1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/east2754/mafe1238/mafe1237,148
abvdoceanic-PortVato_1128,Port Vato,port1286,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/ambr1240/port1292/port1293/sout3403/port1286,151
abvdoceanic-AmbrymNorthFonah_1131,"Ambrym, North (Fonah)",nort2839,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/cent2269/ambr1240/nort2839,161
abvdoceanic-Wetamut_1134,Wetamut,weta1242,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/weta1242,154
abvdoceanic-Valpei_1138,Valpei,valp1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/nort3217/valp1237,163
abvdoceanic-WhitesandsIarkei_1139,Whitesands (Iarkei),whit1269,oceanic,aust1307/mala1545/east2712/ocea1241/sout3173/sout2868/tann1242/nort3218/whit1270/whit1269,156
abvdoceanic-AmbaeWestNgwatua_1144,"Ambae, West (Ngwatua)",west2513,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/amba1270/west2513,163
abvdoceanic-BaetoraNavenevene_1145,Baetora (Navenevene),baet1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/maew1234/baet1237,165
abvdoceanic-Polonombauk_1151,Polonombauk,polo1242,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/nucl1793/east2754/sout3220/polo1242,101
abvdoceanic-Tolomako_1152,Tolomako,tolo1255,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/tolo1255,136
abvdoceanic-Toga_1153,Toga,loto1240,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/torr1262/hiwl1234/loto1240,155
abvdoceanic-Nokuku_1166,Nokuku,noku1237,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/nort3217/noku1237,101
abvdoceanic-Fortsenal_1167,Fortsenal,fort1240,oceanic,aust1307/mala1545/east2712/ocea1241/nort3195/nort3205/espi1234/west2956/fort1240,148
